Merit Johnson (Karakata Holdings Daily Wage),348,Wage,-224,2528782
Katherine Moss (Elite Jewels Daily Wage),348,Wage,-100,2528682
Lara Norris (Warehouse #1 Daily Wage),348,Wage,-153.9,2528528
Grover Brown (Karakata Holdings Daily Wage),348,Wage,-200,2528328
Olivia Cox (Katalytica Midtown Daily Wage),348,Wage,-432,2527896
Maya Turner (Karvin Kween Daily Wage),348,Wage,-256,2527640
Mollie Jenkins (Karakata Holdings Daily Wage),348,Wage,-224,2527416
Oscar Evans (Katar Midtown Daily Wage),348,Wage,-276,2527140
Annabelle Stewart (Katar Midtown Daily Wage),348,Wage,-198,2526942
Traci Parker (Elite Jewels Daily Wage),348,Wage,-156,2526786
Douglas Collins (Karakata Holdings Daily Wage),348,Wage,-44,2526742
Dominic Fisher (Elite Jewels Daily Wage),348,Wage,-368,2526374
Frederick Kelly (Elite Couture Daily Wage),348,Wage,-27,2526347
Lilly Harris (Elite Couture Daily Wage),348,Wage,-288,2526059
Scarlett Davis (Elite Couture Daily Wage),348,Wage,-264,2525795
Bradley Turner (Karvin Kween Daily Wage),348,Wage,-90,2525705
Justin Mitchell (Karvin Kween Daily Wage),348,Wage,-208,2525497
Eliza Owens (Katar Midtown Daily Wage),348,Wage,-216,2525281
Kathryn James (Karakata Holdings Daily Wage),348,Wage,-208,2525073
Zachary Hill (Warehouse #2 Daily Wage),348,Wage,-159.6,2524914
Mollie Martinez (Kalico Midtown Daily Wage),348,Wage,-200,2524714
Joel Rogers (Kalico Midtown Daily Wage),348,Wage,-240,2524474
Leon Powell (Kalico Midtown Daily Wage),348,Wage,-320,2524154
Ralph Hughes (The Green Salad Daily Wage),348,Wage,-266,2523888
Zoe Thompson (The Green Salad Daily Wage),348,Wage,-306,2523582
Harvey Anderson (The Green Salad Daily Wage),348,Wage,-224,2523358
Zoe Cooper (The Green Salad Daily Wage),348,Wage,-434,2522924
Ruth Gray (The Suits Law Firm Daily Wage),348,Wage,-1632,2521292
Ava Powell (The Suits Law Firm Daily Wage),348,Wage,-1400,2519892
Daisy Williams (The Suits Law Firm Daily Wage),348,Wage,-1512,2518380
Lindsey Hall (The Suits Law Firm Daily Wage),348,Wage,-888,2517492
Elise Sanchez (The Suits Law Firm Daily Wage),348,Wage,-1368,2516124
Nicholas Sanchez (The Suits Law Firm Daily Wage),348,Wage,-968,2515156
Isabel Roberts (The Suits Law Firm Daily Wage),348,Wage,-1344,2513812
